Bird_ID,URL,,,Season
American Robin,https://www.allaboutbirds.org/guide/American_Robin,,,Winter
American Goldfinch,https://www.allaboutbirds.org/guide/American_Goldfinch,,,Winter
ray Catbird,https://www.allaboutbirds.org/news/search/?q=ray%20Catbird,,,Winter
Northern Cardinal,https://www.allaboutbirds.org/guide/Northern_Cardinal,,,Winter
Song Sparrow,https://www.allaboutbirds.org/guide/Song_Sparrow,,,Winter
Dark-eyed Junco,https://www.allaboutbirds.org/guide/Dark-eyed_Junco,,,Winter
Tufted Titmouse,https://www.allaboutbirds.org/guide/Tufted_Titmouse,,,Winter
Belted Kingfisher,https://www.allaboutbirds.org/guide/Belted_Kingfisher,,,Winter
Eastern bluebird,https://www.allaboutbirds.org/guide/Eastern_bluebird,,,Winter
Red Crossbill,https://www.allaboutbirds.org/guide/Red_Crossbill,,,Winter
Swamp sparrow,https://www.allaboutbirds.org/guide/Swamp_sparrow,,,Winter
Purple finch,https://www.allaboutbirds.org/guide/Purple_finch,,,Winter
Arctic redpoll,https://www.allaboutbirds.org/guide/Hoary_Redpoll/,,,Winter
Carolina Wren,https://www.allaboutbirds.org/guide/Carolina_Wren,,,Winter
Golden-crowned kinglet,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet/overview,,,Winter
Red-breasted nuthatch,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch/id,,,Winter
barn-swallow,https://www.allaboutbirds.org/guide/Barn_Swallow/,,,Summer
Rusty Blackbird,https://www.allaboutbirds.org/guide/Rusty_Blackbird,,,Summer
Palm Warbler,https://www.allaboutbirds.org/guide/Palm_Warbler,,,Summer
Common nighthawk,https://www.allaboutbirds.org/guide/Common_nighthawk,,,Summer
Yellow-billed cuckoo,https://www.allaboutbirds.org/guide/Yellow-billed_cuckoo,,,Summer
Ruby-throated Hummingbird,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird,,,Summer
Alder flycatcher,https://www.allaboutbirds.org/guide/Alder_flycatcher,,,Summer
Grey-cheeked thrush,https://www.allaboutbirds.org/guide/Gray-cheeked_Thrush/,,,Summer
Eastern towhee,https://www.allaboutbirds.org/guide/Eastern_towhee,,,Summer
Orchard oriole,https://www.allaboutbirds.org/guide/Orchard_oriole,,,Summer
Blue-winged Warbler,https://www.allaboutbirds.org/guide/Blue-winged_Warbler,,,Summer
Black-and-white Warbler,https://www.allaboutbirds.org/guide/Black-and-white_Warbler,,,Summer
Indigo bunting,https://www.allaboutbirds.org/guide/Indigo_bunting,,,Summer