Number,Bird_ID,URL,Season
1,American Robin,https://www.allaboutbirds.org/guide/American_Robin,Winter
2,American Goldfinch,https://www.allaboutbirds.org/guide/American_Goldfinch,Winter
3,ray Catbird,https://www.allaboutbirds.org/news/search/?q=ray%20Catbird,Winter
4,Northern Cardinal,https://www.allaboutbirds.org/guide/Northern_Cardinal,Winter
5,Song Sparrow,https://www.allaboutbirds.org/guide/Song_Sparrow,Winter
6,Dark-eyed Junco,https://www.allaboutbirds.org/guide/Dark-eyed_Junco,Winter
7,Tufted Titmouse,https://www.allaboutbirds.org/guide/Tufted_Titmouse,Winter
8,Belted Kingfisher,https://www.allaboutbirds.org/guide/Belted_Kingfisher,Winter
9,Eastern bluebird,https://www.allaboutbirds.org/guide/Eastern_bluebird,Winter
10,Red Crossbill,https://www.allaboutbirds.org/guide/Red_Crossbill,Winter
11,Swamp sparrow,https://www.allaboutbirds.org/guide/Swamp_sparrow,Winter
12,Purple finch,https://www.allaboutbirds.org/guide/Purple_finch,Winter
13,Arctic redpoll,https://www.allaboutbirds.org/guide/Hoary_Redpoll/,Winter
14,Carolina Wren,https://www.allaboutbirds.org/guide/Carolina_Wren,Winter
15,Golden-crowned kinglet,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet/overview,Winter
16,Red-breasted nuthatch,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch/id,Winter
17,barn-swallow,https://www.allaboutbirds.org/guide/Barn_Swallow/,Summer
18,Rusty Blackbird,https://www.allaboutbirds.org/guide/Rusty_Blackbird,Summer
19,Palm Warbler,https://www.allaboutbirds.org/guide/Palm_Warbler,Summer
20,Common nighthawk,https://www.allaboutbirds.org/guide/Common_nighthawk,Summer
21,Yellow-billed cuckoo,https://www.allaboutbirds.org/guide/Yellow-billed_cuckoo,Summer
22,Ruby-throated Hummingbird,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird,Summer
23,Alder flycatcher,https://www.allaboutbirds.org/guide/Alder_flycatcher,Summer
24,Grey-cheeked thrush,https://www.allaboutbirds.org/guide/Gray-cheeked_Thrush/,Summer
25,Eastern towhee,https://www.allaboutbirds.org/guide/Eastern_towhee,Summer
26,Orchard oriole,https://www.allaboutbirds.org/guide/Orchard_oriole,Summer
27,Blue-winged Warbler,https://www.allaboutbirds.org/guide/Blue-winged_Warbler,Summer
28,Black-and-white Warbler,https://www.allaboutbirds.org/guide/Black-and-white_Warbler,Summer
29,Indigo bunting,https://www.allaboutbirds.org/guide/Indigo_bunting,Summer